group_description,group_id,group_name
"Infocom attempted to branch out of Interactive Fiction in the late 1980s, and, under the ownership of Activision, they published two BattleTech games developed by Westwood.",11,Infocom / Activision BattleTech series
"Games in id Software's 3D first-person-shooter series, Quake, sporadically recounting the ongoing saga of Earth's war against the Stroggs.

Awards



PC Gamer


October 2001 – #17 in the ""Top 50 Best Games of All Time"" list (for the whole series)




Information also contributed by
Entorphane

Related Game Group(s)



Unofficial add-ons for Quake games
",12,Quake series
"All Test Drive arcade-style racing games and their add-on products.

In November 2007, when Atari announced to exit the game development business to concentrate solely on publishing and distribution, the Test Drive franchise was sold to parent company Infogrames for $5 million, granting six-year rights to produce the games.

Cancelled game

While Test Drive: Cycles came out for the Gameboy Color, a game with the same title was in the works for PlayStation, Dreamcast and Windows but was cancelled.",13,Test Drive series and add-ons
,15,TopWare Earth series
"Age of Empires is a real-time strategy (RTS) franchise originally developed by Ensemble Studios, briefly picked up by Hidden Path Entertainment and Skybox Labs, and further handled by Forgotten Empires and World's Edge.

The games in this series have a relatively slower pace to most other RTS titles, with detailed economic and technology systems (including the concept of advancing to the next age with newer and better units and upgrades). While the first two titles, and later the fourth, are based on historical figures, the third used fictional characters in historical settings. The Age of Mythology spin-off maintained largely the same gameplay, but used a mythological setting of multiple classical civilizations.",16,Age of Empires series
"Games based on the Frank Herbert novels of the same name.

Cancelled Atari 2600 game

Atari began (and then terminated) development on a Dune game in 1984 for a film tie-in on the VCS (Atari 2600). Only an early prototype has surfaced, revealing a game not dissimilar to Warren Robinett's Adventure for the 2600.",17,Dune universe
Games based off of (and including) Atari's original Battlezone arcade game.,18,Battlezone series
"This group includes all games set in the fictional futuristic universe shared, among others, by Earthsiege, Starsiege, and Tribes games. The first game set in this universe was Metaltech: Earthsiege (1994). The games set in this universe belong to different genres, most prominently battlemech vehicle simulations and first-person shooters. All the games feature battlemechs as a key gameplay element.

The overarching background story of the series begin in the year 2471, when the scientist Solomon Petresun invented the first ""cybrid"", bio-cybernetic artificial intelligence known as Prometheus, and extends to the 40th century. The cybrids were mass-produced and used as slaves for humanity; however, under the leadership of Prometheus, they rebelled against the humans, which led to a global war, during which the very existence of the Earth was threatened. To counter that, Petresun, who became technically immortal, proclaimed himself the Emperor of Mankind, uniting the Terran forces to combat the cybrids. However, human colonies on other planets were ruthlessly exploited by the Empire, which led to their resistance. The Great Human Empire eventually expanded beyond the Solar System, in constant struggle against outcasts which, in their turn, divided into several Tribes fighting for dominance.",19,Metaltech / Tribes universe
"Space flight and combat simulation series developed by ORIGIN Systems, Inc. set around the military conflicts between Earth and other space-faring races, notably the feline Kilrathi, in the far future.

Awards



Computer Gaming World


November 1996 (15th anniversary issue) – Most Memorable Game Hero (Colonel Blair)

November 1996 (15th anniversary issue) – #6 Most Memorable Game Villain (Prince Thrakhath)



PC Powerplay (Germany)


Issue 06/2005 - #7 Likeable Secondary Character (for Hobbes)


",20,Wing Commander series
Games that are based on the Wing Commander universe but are not directly part of the Wing Commander series timeline.,21,Wing Commander spin-offs
"All games from the  Sid Meier's Civilization series and its spin-offs.

Related links



Empire Building, One Turn at a Time - A brief overview and history of the series by Apple Games.

The History of Civilization - An in-depth feature article on GameDeveloper (ex-Gamasutra) about the history and development of the series and the developer's responsible for it (18 July 2007).

CivFanatics - A very active Civilization community


Awards



GameSpy


2012 – #6 Top PC Gaming Intro (for the whole series)




Sub-groups



Unofficial add-ons for Civilization series
",22,Sid Meier's Civilization series
Games based off of Frederik Pohl's Gateway series of novels.,23,Frederik Pohl's Gateway series
,24,Epic Pinball series
"Electronic Arts published some pioneering games under the ""Construction Set"" title and metaphor, which not only allowed you to play them right out of the box, but also build your own games.",25,"Electronic Arts' ""Construction Set"" series"
A series of simulation/strategy games designed by Chris Crawford where the player takes the control over factors that influence earth and humanity the most. Balance of Power (and the updated 1990 Edition) deal with politics and in Balance of the Planet the player is in charge of the ecological system itself.,26,Balance of Power series
"Parent Group
* Star Wars Licensees

A series of space combat simulation games set in the Star Wars universe (episodes 4, 5, and 6) in which players pilot various starfighters on either side of the Rebel Alliance/Empire conflict.",27,Star Wars X-Wing / TIE Fighter series
,28,Railroad Tycoon series
All games that are part of the Lucasfilm/Lawrence Holland WWII air combat trilogy of the late 1980s and early 1990s.,29,Lucasfilm WWII Air Combat trilogy
Game and add-ons for Lucasarts' Secret Weapons of the Luftwaffe - plus the 'spiritual sequel' Secret Weapons over Normandy.,30,Secret Weapons series
"A series of adventure games set in a post-apocalyptic world with elements of a detective film noir setting, starring the private investigator Tex Murphy. The games were developed by Access Software and designed by Chris Jones, who also played the titular character in all the installments of the series that featured live actors.

The setting in all the games is the city of San Francisco in the fourth decade of the 21st century. Following the Third World War, much of the city has been damaged or destroyed; many of the surviving humans, exposed to radiation, have turned into mutants. During the series' timeline, non-mutated humans (called Norms) co-exist with mutants. The titular protagonist is a ""hard-boiled"" P.I. with relationship and drinking problems; lonely, observant, and witty, Tex Murphy recreates the classic film noir detective type in the unusual post-apocalyptic scenario.

The gameplay in all Tex Murphy games is based on conversations, interrogations, searching for clues, as well as inventory-based and other types of puzzles. Later installments emphasized the puzzle-solving aspect, introducing increasingly complex puzzles; they also featured in-game hint systems and the possibility to have the puzzles solved automatically at the expense of points.

From a technological point of view, Tex Murphy games have made some significant contributions. The series' first installment, Mean Streets (1989), was among the earliest games to implement VGA graphics and the so-called RealSound technology that allowed the PC speaker to reproduce digitized sound effects and voice samples, as well as one of the first adventure games to offer an open 3D world to explore. Under a Killing Moon (1994) was the first adventure game with high-resolution, texture-mapped 3D graphics, and relied on extended full-motion movie cutscenes with live actors. Overseer (1997) was the first game developed to take advantage of DVD-ROM technology. 

In 2012, Big Finish Games, a developer founded by former Access Software employees, announced the development of the long-awaited sixth game in the series under the working title ""Project Fedora."" 

Related links:



The Unofficial Tex Murphy Website (fan site)

Wikipedia: Tex Murphy (article in the open encyclopedia)
",31,Tex Murphy series
"Commander Keen is a series of platform games developed by id Software. The protagonist of these games is an eight-year-old boy named Billy Blaze (his official name is William Joseph Blazkowicz). He is a genius who has built a spaceship called Bean-with-Bacon Megarocket from old soup cans. Throughout the series, he assumes the persona of Commander Keen, a football helmet-donning defender of the Earth who must thwart the world-dominating plans of his school rival Mortimer McMire. This often involves traveling to different planets and other hostile environments, and fighting aliens and other enemies.

Gameplay-wise, the series' defining features are Billy's ray gun with limited ammunition (which he uses to stun enemies permanently), and his pogo stick, which is used to jump twice as high. The games feature top-down overworld areas that connect between platforming stages, often allowing the player to explore them in a different order. Earlier games could only be saved in the overworld; the second trilogy, starting with Secret of the Oracle (1991), makes it possible to save anywhere and introduces several graphical and gameplay-related enhancements.",32,Commander Keen series
Simtex / Quicksilver sci-fi 4X game series dealing with the spread and security of various competing alien races in a finite cosmos.,33,Master of Orion series
"Prince of Persia is a long-running series of action games with predominantly platform-oriented gameplay and puzzle-solving elements. The games are set in a fantasy version of Persia of an unspecified time period, though their stylistic elements reminiscent of the Arabian Nights tales indicate the Islamic Age. The protagonist is invariably the titular character; however, it is not entirely clear whether the Prince starring in each one of the games is the same person or not. Early Prince of Persia installments were designed by Jordan Mechner and developed by Brøderbund. Prince of Persia: The Sands of Time (2003), developed by Ubisoft Montreal, started its own overarching storyline featuring a distinct recurrent protagonist. 

The original Prince of Persia (1989) has had a considerable influence on the development of the platformer genre, contributing to the rise of cinematic platformers, in which the ""jump-and-run"" mechanics, common to the genre at that time, gave way to exploration, challenging combat, interaction with the environment, and puzzle-solving elements. The sequels emphasized and enhanced these features, in particular The Sands of Time, which introduced a re-designed gameplay system. The Prince relied on acrobatic manoeuvres to traverse the many hazards placed on his way; environmental puzzle-solving was given more attention. The Dagger of Time system has been carried over to subsequent games; it involved reversing time in order to re-gain another chance at tackling a difficult situation.",34,Prince of Persia series
"Quest for Glory is a series of role-playing/adventure hybrids originally published and developed by Sierra. 

The player takes on the role of a curly blond would-be hero, seeking fame and fortune in a fantasy world, imitating various countries and cultures, such as medieval Germany in Quest for Glory I: So You Want To Be A Hero, the Middle East in Quest for Glory II: Trial by Fire, Africa in Quest for Glory III: Wages of War, Eastern Europe in Quest for Glory IV, and finally ancient Greece in Quest for Glory V: Dragon Fire. Character may be imported from earlier versions to later versions of the game.

Gameplay

The gameplay in all the installments is a combination of traditional Sierra-style adventure and RPG. Visual style, navigation, and interface are identical to those of the adventure games that Sierra was developing parallel to the course of the series. Inventory-based puzzles, though less numerous, resembled the tasks introduced in other adventures. However, much of the gameplay's challenge also revolved around character development and combat. Battle systems in the series ranged from real-time fights, in which the player chose the desired actions (attacking, parrying, casting a spell, etc.), to side-scrolling action in the fourth game, and finally ""hack-and-slash"" action combat in the fifth.

Role-Playing System

The series originally introduced three classes: the Fighter, Magic-User, and the Thief. The character usually has to join a particular guild which in effect offers different plots in accordance to the class used by the player. In Quest for Glory II: Trial by Fire the Paladin class was officially introduced and has since become the permanent fourth class. As expected in role-playing games, the character comes with a set of attributes and skills which may be increased by repeating certain actions. Many tasks and puzzles in the games can be solved in different ways, depending on the class the player has chosen.

Trivia

The series was originally entitled Hero's Quest. Its name was consequently changed due to intellectual property concerns with an already existing board game: Hero Quest, also adapted into a computer game series.",35,Quest for Glory series
"Atomic Games' suite of World War II battle simulations in a tabletop wargaming vein for Three-Sixty Pacific.

Continued in World at War series released by Avalon Hill.",36,V for Victory series
"This group includes games set in the fictional Zork universe, starting with the text adventure Mainframe Zork (1977), developed by the students who would soon form Infocom. The aforementioned Empire is a vast subterranean complex with predominantly medieval fantasy elements. A complete chronology of this fictional realm has been provided by the authors; each game within the Zork universe is therefore set during a concrete pseudo-historical epoch. The games feature eccentric characters and objects, and are generally known for their humorous tone. Most games in the Zork universe are puzzle-solving text- or graphical adventures. The protagonists of the games are often nameless and speechless, representing the actual player on a journey through a magical world. 

Games in the Zork universe are divided into distinct sub-series. The first of those is the original trilogy of text adventures, which ended with Zork III: The Dungeon Master (1982). These games were followed by the Enchanter series, starting with Enchanter (1983) and ending with Spellbreaker (1985). Though set in the same universe, Enchanter games had a different overarching storyline of their own, and featured a different protagonist. The side-stories Beyond Zork: The Coconut of Quendor (1987) and Zork Zero: The Revenge of Megaboz (1988) continued the text adventure formula, adding role-playing and/or graphical elements.

Afterwards, the series entered a six-year hiatus, which was broken by a final trilogy, opening with Return to Zork (1993), the first fully graphical Zork adventure, which also featured live actors. It was followed by Zork Nemesis: The Forbidden Land (1996), with darker themes and gameplay system influenced by Myst, and eventually Zork: Grand Inquisitor (1997), the final installment of the main series (along with which ZTUU was released for free as a promotional giveaway, the final official Zork text-only game, released a decade after the most recent.)

The text adventure Wishbringer (1985) occupies an uncertain position within the universe, as only a few ties connect it to Zork games. The ZorkQuest games are ""interactive comic"" spin-offs, part of the InfoComics series, with similarly tenuous ties to the series canon. Also spin-off-y, Zork: the Cavern of Doom, though penned by an Implementor, presents a very different approach to the game world, with Choose-Your-Own-Adventure gameplay (befitting its original release as one of four print-and-paper Zork gamebooks.)

By the time the third graphical Zork adventure had come and gone, amateur homebrew text adventure authors had begun devising interactive fanfic homages to Infocom's then-recently-decoded Z-machine. Zork: A Troll's Eye View is as good an example of these as any. For nearly a decade, they would be the only activity of the dormant Zork brand. Then, in 2009, Activision officially licensed the name and fantasy-humour setting to Jolt Online Gaming, for their short-lived browser casual game Legends of Zork, which ran for just over two years before returning to live on solely as a legend.

Trivia

The original Zork trilogy inspired a fantasy novel that bore the Infocom logo. It was called The Zork Chronicles, and was written by Georg Alec Effinger, a past winner of both the Hugo and Nebula Awards. The book was published by Avon books in July, 1990.

Related External Links



The History of Zork by Tim Anderson


Information also contributed by
Jacqke",37,Zork universe
"Includes all Chessmaster games in the series, including early numbering and title alterations such as The Fidelity Chessmaster 2100.",38,Chessmaster series
"This game group contains games created by members of the Cinemaware development team. Games in this group are either:1. Direct Cinemaware products,
2. Were created by most of the same people and marketed under a different company name, or
3. Were created by many of the same people and have
the same ""flavor"" (appearance, graphics, gameplay, etc.)

Games that were merely marketed under the Cinemaware label but were not directly produced by the core Cinemaware developers (ie The Kristal, etc.) are not in this list.",39,Cinemaware-style games
"Infocom's follow-up series to Zork (set in the same game world, during the Age of Magic), following the ascent of the player, a member of the Circle of Enchanters, in a series of conflicts whose resolutions maintain a focus on the use and abuse of spellcasting.",40,Infocom Enchanter series
"Toys for Bob and Accolade's epic strategic and tactical SF series, exploring the endless nuances of extra-terrestrial gunboat diplomacy between the warships of member races of the Alliance of Free Stars and the Hierarchy of Battle Thralls.

Trivia

Cancelled game

A game titled Starcon, which was to be the fourth game in the Star Control series, was cancelled in 1998. It was being made for both PC and PlayStation. It was going to be a straightforward space combat game unlike the earlier games in the series.",41,Star Control series
A series of hockey games carrying either a NHL or NHLPA license from Electronic Arts Inc..,42,EA Sports NHL series
,43,Sid Meier's Pirates! series
"Real-time strategy games inspired by Sun Tzu's book, Art of War.",44,Ancient Art of War series
"Any game based on the fundamental ""turret vs. airborne infantry"" game premise popularly employed by Paratrooper (and the earlier Sabotage).  Paratrooper games usually identify the player acting as a fixed gun turret (machine gun or similar devices) shooting at wide but limited vertical angle against incoming enemies: Paratroopers, Helicopters, Bomber planes, etc.

The most unique feature is the paratrooper enemy (which parachutes in numerous numbers), which if successfully landing behind friendly lines in specific numbers, will create a human ladder and blow up the player's gun turret.",45,Sabotage / Paratrooper variants
"Covers all official Wolfenstein series and licenses, from the first release originally created by Silas S. Warner, through popular iterations by id Software to modern titles by MachineGames.

Related Game Groups



Castle Wolfenstein fangames

Spear of Destiny series

Unofficial add-ons for Castle Wolfenstein series

World War II genre
",46,Castle Wolfenstein series
"Includes all titles based off of (and including) the original ""Where in the world is Carmen Sandiego"" educational series.",47,Carmen Sandiego series
"Coined by Maxis with SimCity in 1989, this group contains any game by the company that bears the Sim prefix. Sim- games are mostly managerial simulations.

Maxis was acquired by Electronic Arts in the late 1990s, and due to the success of the series, especially with The Sims, EA created an entire studio/label for the franchise in June 2007: The Sims Studio lead by Rod Humble, before it was decided that Maxis' branding would again be used instead.

Sub-groups



SimAnimals series

SimCity series

SimGolf series

The Sims franchise / MySims series

SimTower series
",48,Maxis Sim series
,49,Night Mission Pinball versions
"Any game that contains characters, locations, or situations licensed from the Marvel universe. 

In 2009, The Walt Disney Company acquired Marvel Comics' parent corporation, Marvel Entertainment.

This includes the Scott Adams Questprobe adventures from the early 1980s, the Paragon titles from the 1990s, and anything else with a Marvel character.

Sub-Groups



Blade licensees

Captain America licensees

Deadpool licensees

Fantastic Four licensees

Ghost Rider licensees

Hulk licensees

Iron Man licensees

Marvel's Avengers licensees

Punisher licensees

Spider-Man licensees

Thor licensees

X-Men licensees

Scott Adams Questprobe licensees


Related Companies



Marvel Studios


Related Game Groups



DC Comics licensees

Inspiration: Comics

Inspiration: Movies

Inspiration: TV cartoons


Related Links



Marvel official site
",50,Marvel licensees
"The game ""Titus the Fox"" was released in more than one version.

Trivia

Unreleased games

Baby Titus aka Titus Jr, for the Game Boy / Game Boy Color.",51,Titus the Fox versions
"Series of first-person adventure games, set in a world where alien ""Orbs"" rule mankind. The player is a Manhunter employed by the Orbs to investigate the human resistance, but eventually rebels against his masters to rid the Earth of their kind, while also chasing a psychotic murderer.",52,Manhunter series
"A series of puzzle-solving adventure games, originally designed by Jane Jensen and developed by Sierra. The games feature a recurrent protagonist, a young bookstore owner and aspiring writer from New Orleans named Gabriel Knight. Gabriel discovers that he is a Schattenjäger (German for ""shadow hunter""), destined to solve supernatural mysteries and confront dark cults and demonic adversaries.

Despite their supernatural elements, Gabriel Knight games contain many historical references, and their stories are based on real studies of the occult. The first game deals with a voodoo cult in New Orleans, providing cultural and social background information for the city. The sequel is set in Munich, Germany; it is dedicated to werewolves, and refers to historical events connected to the city. The third game takes the protagonist to Southern France, where he must unravel a mystery that involves vampires and an alternate history of Christianity.

The three games of the series are also known for representing the three major graphical styles used by adventure games: the first game is done in hand-painted 2D style, the second uses full-motion videos with real actors and backgrounds composed of photos, and the third is in real-time 3D.

Awards



Computer Gaming World


November 1996 (15th anniversary issue) – #2 Most Memorable Game Hero (Gabriel Knight)


",53,Gabriel Knight series
Antonio Antiochia's trilogy of supernatural gothic horror-themed interactive fiction-with-graphics adventures.,54,Transylvania series
"This group covers the games related to the Starflight series. A series where the player is to explore space, to find and manage resources to help build an empire while engaging alien races.",55,Starflight series
,56,Syndicate series
,57,Cannon Fodder series
,58,F-15 Strike Eagle series
,59,Street Rod series
"Arguably the longest running PC ""game"" series in existence, this group is for all of the flight simulations created by the Bruce Artwick Organization (and descendants) and marketed by Microsoft. This group is only for official instalments. Please use this group for unofficial add-ons.",60,Microsoft Flight Simulator series
"Role-playing games based on the ""Riftwar"" adventure novels by Raymond Feist, including all related games and their sequels.",61,Krondor series
"Graphical adventure games by Sierra in the mystery idiom, featuring the sleuthing of plucky lady protagonist Laura Bow.

Awards



Computer Gaming World


November 1996 (15th anniversary issue) – #13 Most Memorable Game Hero (Laura Bow)


",62,Laura Bow Mystery series
"This series of first-person shooters developed by LucasArts and set in the Star Wars universe evolved from Star Wars: Dark Forces (1995); the sequels changed the main sub-title to Jedi Knight and gradually abandoned ""Dark Forces"" as part of their titles. These games have an overarching storyline, and most of them feature a common protagonist, the former Imperial officer Kyle Katarn, turned mercenary and then knight of the New Jedi Order.

The original Dark Forces was among the first story-driven first-person shooters, featuring cutscenes, mission objectives, and jumping as an important gameplay ability. The sequel, Star Wars: Jedi Knight - Dark Forces II (1997) added an optional third-person view, melee lightsaber combat, and the usage of Jedi Powers, all of which have since become recurrent gameplay elements in the series.

Trivia

Awards



PC Gamer magazine


October 2001 issue - 'Dark Forces', as a series, was named #5 of the Top 50 Games of all time




Trivia contributed by
Entorphane.

Parent Group



Star Wars Licensees


Sub-Groups



Unofficial add-ons for Star Wars: Dark Forces / Jedi Knight series
",63,Star Wars: Dark Forces / Jedi Knight series
"The brainchild of the Collyer Brothers (Paul and Oliver), Championship Manager became the most popular football (soccer) management series during the 1990s, mostly thanks to the gigantic database that allowed many gamers born in countries outside the leagues usually covered by managing games (England, Spain, Germany, Scotland, Italy and France) the chance to coach their favourite clubs.

In 2004, Sports Interactive split with Eidos, which allowed Eidos to retain the name, and SI the database (which was used in their fresh new franchise, Football Manager). Development on the franchise was taken over by Beautiful Game Studios.

In October 2008, Beautiful Game Studios general manager Roy Meredith admitted that the franchise had suffered due to poor quality, and lacked vision and direction since the original team from Sports Interactive had left the series, with a promise to turn that around.

In December 2008, Championship Manager: Season 01/02 was released as freeware.

On 2 May 2022, the Championship Manager was sold as one of several franchises from Square Enix (as successors of Eidos) to the Embracer Group.

Related Links:



Football Manager History #1 - Article published on the CM Revolution website describes the early beginnings of Championship Manager series and how it evolved.

Football Manager History #2 - Second article published on the CM Revolution website continues the Championship Manager history.
",64,Championship Manager series
,65,Leather Goddesses of Phobos series
